City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Tabou,CI,76.69,few clouds,4.423,-7.3528,hotêl doufoulougou
23,Mogadishu,SO,79.32,broken clouds,2.0371,45.3438,Hotel Juba
38,Vaini,TO,78.03,clear sky,-21.2,-175.2,Keleti Beach Resort
39,Pontianak,ID,84.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
41,Kavaratti,IN,82.04,broken clouds,10.5669,72.642,Green leaf
45,Butaritari,KI,81.46,broken clouds,3.0707,172.7902,Isles Sunset Lodge
46,Atambua,ID,86.31,overcast clouds,-9.1061,124.8925,Ros Muskanan
47,Porto Novo,BJ,76.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
52,Toamasina,MG,75.36,broken clouds,-18.1667,49.3833,Hotel H1
54,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
57,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
61,Atuona,PF,78.46,clear sky,-9.8,-139.0333,Villa Enata
70,Tutoia,BR,78.06,scattered clouds,-2.7619,-42.2744,Pousada Guará's
71,Dhidhdhoo,MV,81.66,broken clouds,6.8833,73.1,Dhidhoo beach
73,Mahebourg,MU,77.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
86,Nishihara,JP,78.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
107,Muncar,ID,86.25,overcast clouds,-8.4333,114.3333,Zaky Homestay
109,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
114,Beitbridge,ZW,79.29,clear sky,-22.2167,30.0,Beitbridge Express Hotel
115,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
116,Matara,LK,83.89,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
118,Lorengau,PG,85.3,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
127,Kawalu,ID,84.25,broken clouds,-7.3817,108.2082,West Jontor
130,Martapura,ID,89.69,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
135,Karratha,AU,80.37,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
150,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
158,Banjar,ID,88.36,overcast clouds,-8.19,114.9675,The Hamsa Resort
163,Doha,QA,78.78,clear sky,25.2867,51.5333,Mövenpick Doha
165,Hithadhoo,MV,81.09,broken clouds,-0.6,73.0833,Scoop Guest House
170,Teknaf,BD,80.01,clear sky,20.8624,92.3058,Forestry Guesthouse
174,Yulara,AU,86.43,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
177,Victoria,HK,80.96,broken clouds,22.2855,114.1577,Mini Central
184,Bengkulu,ID,79.34,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
