City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Clouldiness,Wind Speed
0,Lebu,CL,2022-11-15 08:07:11,-37.6167,-73.65,52.54,90,3,2.98
1,Qaanaaq,GL,2022-11-15 08:07:11,77.484,-69.3632,0.82,82,100,2.89
2,Jamestown,US,2022-11-15 08:06:57,42.097,-79.2353,35.19,80,100,8.05
3,Ushuaia,AR,2022-11-15 08:06:26,-54.8,-68.3,49.66,81,75,5.75
4,Pisco,PE,2022-11-15 08:07:11,-13.7,-76.2167,62.65,82,75,2.3
5,Carnarvon,AU,2022-11-15 08:07:12,-24.8667,113.6333,79.0,51,1,17.98
6,Busselton,AU,2022-11-15 08:04:08,-33.65,115.3333,70.27,48,0,13.4
7,Mataura,NZ,2022-11-15 08:07:12,-46.1927,168.8643,58.48,63,100,1.12
8,Boende,CD,2022-11-15 08:07:12,-0.2167,20.8667,77.85,91,100,0.69
9,Punta Arenas,CL,2022-11-15 08:02:36,-53.15,-70.9167,48.11,66,64,19.42
10,Airai,TL,2022-11-15 08:07:13,-8.9266,125.4092,70.07,74,99,1.83
11,Butaritari,KI,2022-11-15 08:07:13,3.0707,172.7902,80.85,81,26,8.21
12,Portobelo,PA,2022-11-15 08:07:13,9.55,-79.65,74.05,87,99,2.93
13,Barrow,US,2022-11-15 08:07:13,71.2906,-156.7887,-0.38,78,0,19.57
14,Cape Town,ZA,2022-11-15 08:03:39,-33.9258,18.4232,70.38,62,75,17.27
15,Lipari,IT,2022-11-15 08:07:14,38.4674,14.954,63.32,62,100,1.36
16,Constitucion,CL,2022-11-15 08:07:14,-35.3333,-72.4167,56.75,82,58,7.58
17,Goundi,TD,2022-11-15 08:07:14,9.3627,17.366,87.67,28,6,2.59
18,Adrar,MR,2022-11-15 07:57:41,20.5022,-10.0711,71.67,25,46,8.99
19,Waingapu,ID,2022-11-15 08:07:15,-9.6567,120.2641,84.67,73,100,5.57
20,Hamilton,US,2022-11-15 08:07:15,39.1834,-84.5333,36.23,73,0,5.01
21,Mahebourg,MU,2022-11-15 08:07:15,-20.4081,57.7,77.25,50,28,13.35
22,Maracacume,BR,2022-11-15 08:07:16,-2.0428,-45.9592,72.91,95,82,2.89
23,Rikitea,PF,2022-11-15 08:04:15,-23.1203,-134.9692,74.48,80,84,15.01
24,Albany,US,2022-11-15 08:06:27,42.6001,-73.9662,26.4,80,94,3.24
25,Sao Filipe,CV,2022-11-15 08:07:16,14.8961,-24.4956,74.53,73,100,10.13
26,Geraldton,AU,2022-11-15 08:07:16,-28.7667,114.6,81.01,34,0,21.85
27,New Norfolk,AU,2022-11-15 08:07:17,-42.7826,147.0587,46.92,84,100,4.0
28,Castro,BR,2022-11-15 08:07:17,-24.7911,-50.0119,56.62,96,5,3.02
29,Sarangani,PH,2022-11-15 08:07:17,5.4033,125.4636,84.2,74,100,6.78
30,Avarua,CK,2022-11-15 08:07:18,-21.2078,-159.775,71.65,73,100,8.05
31,Yellowknife,CA,2022-11-15 08:03:52,62.456,-114.3525,25.32,100,100,8.05
32,Awjilah,LY,2022-11-15 08:07:18,29.1081,21.2869,66.31,40,0,3.42
33,Hobart,AU,2022-11-15 08:07:18,-42.8794,147.3294,47.26,88,75,21.85
34,Dunedin,NZ,2022-11-15 08:03:27,-45.8742,170.5036,57.79,91,100,4.0
35,Mogadishu,SO,2022-11-15 08:07:19,2.0371,45.3438,82.2,71,37,10.58
36,Bredasdorp,ZA,2022-11-15 08:07:19,-34.5322,20.0403,74.91,36,67,14.43
37,Choix,MX,2022-11-15 08:07:19,26.7092,-108.3219,62.87,68,97,3.96
38,Kyren,RU,2022-11-15 08:07:20,51.6828,102.1408,33.44,80,51,1.3
39,Arraial Do Cabo,BR,2022-11-15 08:07:20,-22.9661,-42.0278,75.06,88,0,11.5
40,Upernavik,GL,2022-11-15 08:07:20,72.7868,-56.1549,20.98,93,100,6.87
41,Olafsvik,IS,2022-11-15 08:07:20,64.8945,-23.7142,43.43,82,100,13.78
42,Vila Velha,BR,2022-11-15 08:06:22,-20.3297,-40.2925,76.95,93,100,10.36
